500 1993
319 328 14
320 91 69
320 131 84
320 147 74
320 200 90
321 69 34
321 342 74
321 348 82
321 350 92
322 34 27
322 70 89
322 119 36
322 148 9
322 307 14
322 330 41
322 334 84
322 431 68
322 433 79
322 484 84
323 47 67
323 152 23
323 214 11
323 434 4
324 317 68
324 414 68
324 490 1
325 31 23
325 138 51
325 248 42
325 438 82
325 487 67
326 365 63
326 421 3
326 434 68
326 465 7
326 497 55
327 76 73
327 97 34
327 201 86
327 217 82
327 263 89
327 286 77
327 467 1
327 484 88
328 24 13
328 102 94
328 321 31
328 461 95
329 64 6
329 356 67
329 418 48
330 64 92
330 182 74
330 319 80
330 352 14
330 410 58
330 415 32
330 477 78
330 482 35
331 253 20
331 271 83
331 341 9
332 33 11
332 223 79
332 452 94
333 49 33
333 160 79
333 166 49
333 378 76
334 246 17
334 285 74
334 389 2
334 415 16
335 81 14
335 460 65
336 43 84
336 78 96
336 218 51
336 222 21
336 358 39
336 382 5
336 410 23
336 438 59
337 14 55
337 38 20
337 117 12
337 244 39
337 466 60
338 22 16
338 70 80
338 88 70
338 126 49
338 344 83
339 135 13
339 198 93
339 271 28
339 461 64
340 12 63
340 97 60
340 131 35
340 141 35
340 245 27
341 45 28
341 104 47
341 142 76
341 305 4
341 340 88
342 239 44
343 160 52
343 459 80
344 11 23
344 42 41
344 163 67
344 230 70
344 334 95
344 415 82
345 284 68
345 308 21
345 350 99
347 141 43
347 192 16
347 204 29
347 307 100
347 340 91
347 451 6
348 91 37
348 340 87
348 448 38
349 138 54
349 305 68
349 416 98
350 58 88
350 142 13
350 184 39
350 222 51
350 233 41
350 438 62
350 457 63
351 20 89
351 49 62
351 364 61
351 366 34
351 429 4
351 450 47
351 474 64
352 375 84
353 235 7
354 74 47
355 58 5
355 113 2
355 393 100
355 441 80
355 476 83
356 109 90
356 195 81
356 239 22
356 372 55
356 475 80
357 48 39
357 103 82
357 283 38
357 305 72
357 486 95
357 487 85
358 71 85
358 134 63
358 146 28
358 170 47
358 305 11
359 171 22
359 216 96
359 409 35
359 467 37
360 197 99
360 201 69
360 284 33
360 350 86
362 164 7
362 331 34
362 442 67
362 474 21
363 98 6
363 109 16
363 120 11
363 364 36
363 455 54
363 467 31
364 4 74
364 5 59
364 74 5
364 123 59
364 302 42
364 435 15
365 224 41
365 315 31
365 463 64
366 84 65
366 107 57
367 127 2
367 161 91
367 185 22
367 326 80
368 1 95
368 215 55
368 297 43
368 469 50
369 454 76
370 281 20
370 447 71
371 92 20
371 351 52
372 1 8
372 32 63
372 93 44
372 129 68
372 212 10
372 266 1
372 298 43
372 343 78
372 362 85
372 404 29
372 473 56
372 489 17
373 84 49
373 132 67
373 167 51
374 296 31
374 446 48
374 476 89
375 112 68
375 327 22
375 498 78
376 268 84
376 458 31
377 34 11
377 91 35
377 238 54
377 240 35
377 328 74
377 333 10
378 186 48
378 212 91
378 324 47
378 393 96
378 442 64
379 15 62
379 71 38
379 131 19
379 134 6
379 320 46
380 98 62
380 143 57
380 351 22
381 221 9
381 243 43
381 249 17
381 268 68
381 282 25
381 288 67
382 64 23
382 85 8
382 157 48
382 371 1
383 67 11
383 218 84
383 219 62
383 487 40
384 92 91
384 156 66
384 200 7
384 209 46
384 431 46
385 182 48
385 322 36
385 329 92
386 187 63
386 312 46
386 412 30
387 266 4
387 376 24
387 472 50
388 7 3
388 18 38
388 242 35
388 292 65
388 481 43
389 130 35
389 357 14
389 383 56
390 82 4
390 165 64
390 452 57
391 75 96
391 141 53
391 362 22
391 497 47
392 436 4
392 442 75
393 163 92
393 171 25
393 436 93
394 72 29
394 114 38
394 156 17
394 219 29
394 445 4
395 192 52
395 359 44
395 372 87
395 479 27
395 488 98
396 322 85
396 380 88
397 18 52
397 57 41
397 109 2
397 165 99
397 310 58
397 474 23
398 62 81
399 1 93
399 62 97
399 247 27
400 468 45
401 152 44
401 389 65
402 9 81
402 102 89
402 239 26
402 322 72
403 179 57
403 211 61
403 276 30
403 470 64
404 104 28
404 469 49
405 408 24
406 166 40
406 269 63
406 272 68
406 340 23
406 345 37
406 420 46
406 480 35
407 128 32
407 161 48
407 226 9
407 272 44
408 84 32
408 168 8
408 188 10
408 267 39
408 339 25
408 349 71
409 47 48
409 49 13
409 194 20
409 342 3
410 65 90
410 270 14
410 421 23
411 249 66
411 305 12
411 396 6
412 21 78
412 130 55
412 169 23
412 379 19
412 488 33
413 57 7
413 174 41
413 266 96
413 301 73
413 438 44
413 469 91
414 171 4
414 307 98
414 391 69
414 438 14
415 136 53
415 304 35
415 378 46
415 498 94
416 215 3
416 312 76
416 353 99
416 379 99
416 415 87
417 95 100
417 192 38
417 320 77
417 358 38
418 70 55
418 286 16
418 354 78
418 496 65
419 58 30
419 183 53
419 358 72
419 412 51
420 20 12
420 102 73
420 227 23
420 237 73
420 318 54
420 423 30
421 58 57
421 144 80
421 188 50
421 324 52
421 396 65
421 443 2
422 3 63
422 92 92
422 322 8
422 337 75
422 351 19
423 240 83
423 488 100
424 352 69
424 448 68
425 18 67
425 49 21
425 75 67
425 79 17
425 114 47
425 284 79
425 419 13
425 477 55
426 120 66
426 121 35
426 128 6
426 260 81
427 2 41
427 185 66
427 196 99
427 350 42
427 433 39
428 54 87
428 255 81
428 319 44
428 343 51
429 137 18
429 297 4
429 344 27
429 400 53
429 434 33
429 450 94
429 491 15
430 114 44
430 183 24
430 348 31
431 198 88
431 284 73
431 423 29
432 178 70
432 231 39
433 310 95
433 446 23
434 283 74
435 96 90
435 157 10
435 178 71
435 216 64
435 224 45
435 303 10
435 329 91
436 64 76
436 204 55
436 489 68
437 57 76
437 156 98
438 136 85
438 253 27
438 357 70
439 22 68
439 80 39
439 439 34
439 461 60
439 475 64
440 70 40
441 43 24
441 157 11
441 237 44
441 288 67
441 470 58
442 90 74
442 126 6
442 237 9
442 268 79
442 396 22
442 424 42
442 453 100
443 213 92
443 368 80
444 426 70
444 470 94
445 90 12
445 129 52
445 430 75
446 60 100
446 170 34
446 280 90
446 344 19
446 367 12
447 119 93
447 156 89
447 251 71
447 267 36
447 342 59
447 368 40
448 142 13
450 18 42
450 136 33
450 407 50
451 118 87
451 259 33
451 350 71
451 414 61
451 462 54
452 176 28
453 23 76
453 262 67
453 373 66
454 16 97
454 248 51
454 338 59
454 422 11
454 436 64
456 53 10
456 98 53
456 142 2
456 198 89
456 214 11
456 236 40
456 259 96
456 293 98
457 324 100
457 333 9
458 323 80
458 353 20
459 404 54
459 496 5
460 30 23
460 36 13
460 268 63
460 298 75
460 353 65
461 12 34
461 208 95
461 323 79
461 447 88
462 105 70
462 215 75
462 425 12
463 218 79
463 309 61
463 314 95
464 44 14
464 187 80
464 491 26
464 498 48
465 243 39
465 279 52
465 314 34
465 425 7
465 460 48
467 0 7
467 39 82
467 253 63
467 359 29
467 419 41
467 468 11
467 493 77
468 125 31
468 280 43
469 74 4
469 110 20
469 453 21
469 458 18
470 133 89
470 262 47
471 1 23
471 17 19
471 166 59
471 472 74
472 10 5
472 221 4
472 278 53
472 285 7
472 307 90
472 356 85
472 359 70
472 462 14
473 37 91
473 125 9
473 152 85
473 295 1
473 368 11
474 178 45
474 186 88
474 201 68
474 227 66
475 30 10
475 204 100
475 245 96
475 350 59
475 389 71
475 433 12
476 36 80
476 122 75
476 298 8
476 329 24
476 448 53
476 480 76
477 49 99
477 92 6
477 166 28
477 345 18
477 481 52
478 465 62
479 136 58
479 163 47
479 212 72
480 99 40
480 114 92
480 233 29
480 324 95
480 479 14
481 30 13
481 65 94
481 160 19
481 351 27
482 113 39
482 164 29
482 362 61
483 86 43
483 440 52
483 479 42
484 189 44
485 87 66
485 203 23
485 330 41
485 331 84
485 348 41
485 402 6
485 450 16
485 466 44
486 77 84
486 118 87
487 299 51
487 307 27
488 1 19
488 100 68
488 195 75
488 332 65
488 484 82
489 240 2
489 374 79
490 38 83
490 153 83
490 211 23
490 260 52
490 430 98
491 18 38
491 210 51
491 494 48
492 2 23
492 28 63
492 84 35
492 95 41
492 167 20
492 307 65
492 329 8
492 433 27
492 444 44
493 130 29
493 214 94
493 229 34
494 64 43
494 73 12
494 184 25
494 399 21
494 429 7
495 296 3
495 334 28
495 338 31
496 41 88
496 58 70
496 116 74
496 210 16
497 26 91
497 108 58
497 119 57
497 248 53
497 366 23
497 428 3
497 433 46
497 485 89
497 486 62
497 487 64
498 120 83
498 238 81
